,State_FIPS_Code,County_FIPS_Code,Diabetes,FluB_Ind,Syphilis_Ind,HepA_Rpt,HepA_Ind,HepA_Exp,HepB_Rpt,HepB_Ind,HepB_Exp,Meas_Ind,Pert_Ind,Pert_Exp,CRS_Ind
114,5,71,8.6,3.0,3.0,21.0,4.0,7.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0
115,5,73,10.2,3.0,3.0,3.0,3.0,6.0,1.0,3.0,3.0,3.0,4.0,5.0,3.0
116,5,75,5.9,4.0,3.0,2.0,3.0,11.0,5.0,4.0,5.0,3.0,4.0,2.0,3.0
117,5,77,9.3,3.0,4.0,5.0,4.0,4.0,15.0,4.0,4.0,3.0,4.0,1.0,3.0
118,5,79,9.3,3.0,4.0,1.0,3.0,3.0,9.0,4.0,3.0,3.0,4.0,1.0,3.0
119,5,81,6.7,3.0,4.0,2.0,3.0,9.0,19.0,4.0,3.0,3.0,3.0,4.0,3.0
120,5,83,8.1,3.0,3.0,20.0,4.0,9.0,20.0,4.0,7.0,3.0,3.0,2.0,3.0
121,5,85,6.3,3.0,3.0,2.5,3.0,5.0,6.0,4.0,3.0,3.0,4.0,14.0,3.0
122,5,87,4.0,3.0,3.0,9.0,4.0,8.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
123,5,89,8.3,3.0,3.0,12.0,4.0,8.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0
124,5,91,9.7,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0
125,5,93,7.0,3.0,4.0,17.0,4.0,8.0,7.0,3.0,10.0,3.0,3.0,5.0,3.0
126,5,95,8.3,3.0,4.0,3.0,4.0,7.0,2.0,3.0,3.0,3.0,4.0,6.0,3.0
127,5,97,11.5,3.0,3.0,23.0,4.0,8.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0
128,5,99,1.9,3.0,3.0,1.0,3.0,7.0,1.0,3.0,3.0,3.0,4.0,6.0,3.0
129,5,101,5.8,3.0,3.0,9.0,4.0,9.0,1.5,3.0,2.0,3.0,4.0,2.0,3.0
130,5,103,6.6,3.0,4.0,4.0,3.0,8.0,1.0,3.0,7.0,3.0,4.0,1.0,3.0
131,5,105,12.3,3.0,4.0,1.0,3.0,8.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
132,5,107,8.8,3.0,4.0,1.0,3.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0
133,5,109,2.9,4.0,4.0,5.0,4.0,9.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0
134,5,111,12.4,3.0,3.0,11.0,4.0,10.0,25.0,4.0,8.0,3.0,3.0,3.0,3.0
135,5,113,7.9,3.0,3.0,10.0,4.0,10.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0
136,5,115,6.5,3.0,3.0,7.0,4.0,8.0,17.0,4.0,8.0,3.0,4.0,5.0,3.0
137,5,117,7.2,3.0,4.0,3.0,3.0,6.0,6.0,4.0,1.0,3.0,4.0,2.0,3.0
138,5,119,6.7,3.0,4.0,12.0,3.0,44.0,38.0,3.0,44.0,3.0,4.0,44.0,3.0
139,5,121,6.5,3.0,3.0,2.0,3.0,11.0,6.0,4.0,5.0,3.0,3.0,2.0,3.0
140,5,123,11.8,3.0,4.0,8.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0
141,5,125,7.5,3.0,4.0,2.0,3.0,8.0,7.0,4.0,4.0,3.0,4.0,25.0,3.0
142,5,127,10.2,3.0,3.0,16.0,4.0,10.0,6.0,4.0,3.0,3.0,3.0,2.0,3.0
143,5,129,12.4,3.0,3.0,3.0,3.0,7.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0
144,5,131,7.1,3.0,3.0,36.0,4.0,11.0,60.0,4.0,14.0,3.0,4.0,14.0,3.0
145,5,133,8.2,3.0,3.0,16.0,4.0,6.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0
146,5,135,6.7,4.0,4.0,7.0,4.0,10.0,1.0,3.0,5.0,3.0,4.0,2.0,3.0
147,5,137,9.0,3.0,3.0,3.0,3.0,10.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0
148,5,139,9.1,3.0,4.0,1.5,3.0,14.0,3.0,3.0,11.0,3.0,3.0,2.0,3.0
149,5,141,8.2,3.0,3.0,3.0,3.0,8.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0
150,5,143,5.5,3.0,4.0,13.0,4.0,10.0,25.0,4.0,10.0,3.0,3.0,15.0,3.0
151,5,145,8.7,3.0,3.0,1.0,3.0,7.0,13.0,4.0,3.0,3.0,4.0,3.0,3.0
152,5,149,8.9,3.0,3.0,7.0,3.0,17.0,14.0,4.0,4.0,3.0,3.0,8.0,3.0
153,6,1,5.3,3.0,3.0,120.0,3.0,176.0,91.0,3.0,132.0,3.0,3.0,132.0,3.0
154,6,5,5.4,3.0,3.0,2.0,3.0,4.0,13.0,4.0,2.0,3.0,4.0,4.0,3.0
155,6,7,4.3,3.0,3.0,13.0,3.0,19.0,8.0,3.0,25.0,3.0,4.0,25.0,3.0
156,6,9,1.3,3.0,3.0,4.0,3.0,4.0,9.0,4.0,4.0,3.0,4.0,6.0,3.0
157,6,13,5.4,3.0,3.0,108.0,4.0,119.0,60.0,3.0,59.0,3.0,3.0,89.0,3.0
158,6,17,4.8,3.0,3.0,14.0,4.0,10.0,32.0,4.0,5.0,3.0,4.0,20.0,3.0
159,6,19,7.4,3.0,3.0,95.0,4.0,125.0,35.0,3.0,100.0,3.0,4.0,75.0,3.0
160,6,23,8.5,3.0,3.0,8.0,3.0,11.0,70.0,4.0,15.0,3.0,4.0,15.0,3.0
161,6,25,13.0,3.0,3.0,48.0,4.0,18.0,2.0,3.0,18.0,3.0,4.0,9.0,3.0
162,6,29,9.0,3.0,3.0,98.0,4.0,104.0,65.0,3.0,83.0,3.0,3.0,62.0,3.0
163,6,31,4.6,3.0,3.0,8.0,3.0,16.0,13.0,3.0,16.0,3.0,3.0,8.0,3.0
164,6,33,6.2,3.0,3.0,10.0,4.0,9.0,22.0,4.0,6.0,3.0,3.0,3.0,3.0
165,6,37,6.7,3.0,4.0,1543.0,4.0,1171.0,327.0,3.0,878.0,3.0,3.0,878.0,3.0
166,6,39,10.4,4.0,3.0,5.0,3.0,16.0,66.0,4.0,16.0,3.0,4.0,8.0,3.0
167,6,41,2.8,3.0,4.0,19.0,4.0,15.0,8.0,3.0,7.0,3.0,4.0,30.0,3.0
168,6,45,10.7,3.0,3.0,27.0,4.0,13.0,8.0,3.0,13.0,3.0,4.0,9.0,3.0
169,6,47,7.5,3.0,3.0,12.0,3.0,27.0,11.0,3.0,27.0,3.0,4.0,13.0,3.0
170,6,53,4.7,3.0,3.0,50.0,4.0,49.0,10.0,3.0,49.0,3.0,4.0,49.0,3.0
171,6,55,6.1,3.0,3.0,13.0,4.0,8.0,8.0,4.0,8.0,3.0,4.0,12.0,3.0
172,6,57,8.3,3.0,3.0,12.0,4.0,14.0,6.0,3.0,5.0,3.0,4.0,23.0,3.0
173,6,59,4.2,3.0,3.0,314.0,4.0,351.0,123.0,3.0,263.0,3.0,3.0,263.0,3.0
174,6,61,5.7,3.0,3.0,10.0,3.0,17.0,7.0,3.0,8.0,3.0,4.0,33.0,3.0
175,6,65,6.8,3.0,3.0,217.0,4.0,204.0,295.0,4.0,153.0,3.0,3.0,153.0,3.0
176,6,67,6.4,3.0,3.0,106.0,3.0,156.0,37.0,3.0,117.0,3.0,4.0,117.0,3.0
177,6,71,7.8,3.0,3.0,140.0,3.0,217.0,76.0,3.0,163.0,3.0,3.0,163.0,3.0
178,6,73,5.6,3.0,3.0,453.0,4.0,347.0,89.0,3.0,260.0,3.0,4.0,260.0,3.0
179,6,75,3.7,3.0,4.0,138.0,4.0,114.0,146.0,4.0,92.0,4.0,3.0,69.0,3.0
180,6,77,6.4,3.0,3.0,110.0,4.0,92.0,129.0,4.0,73.0,3.0,3.0,55.0,3.0
181,6,79,5.5,3.0,3.0,14.0,4.0,38.0,3.0,3.0,15.0,3.0,3.0,45.0,3.0
182,6,81,4.2,3.0,4.0,98.0,4.0,84.0,4.0,3.0,42.0,3.0,4.0,63.0,3.0
183,6,83,5.7,3.0,3.0,58.0,4.0,36.0,14.0,3.0,24.0,3.0,3.0,24.0,3.0
184,6,85,5.9,3.0,3.0,120.0,3.0,202.0,46.0,3.0,151.0,3.0,4.0,151.0,3.0
185,6,87,6.9,3.0,3.0,36.0,4.0,15.0,14.0,3.0,15.0,3.0,4.0,23.0,3.0
186,6,89,5.6,3.0,3.0,13.0,4.0,15.0,68.0,4.0,21.0,3.0,3.0,21.0,3.0
187,6,93,8.7,3.0,3.0,16.0,4.0,7.0,6.0,4.0,4.0,3.0,3.0,2.0,3.0
188,6,95,6.4,3.0,3.0,48.0,4.0,24.0,4.0,3.0,24.0,3.0,4.0,37.0,3.0
189,6,97,6.3,3.0,4.0,79.0,4.0,42.0,21.0,4.0,28.0,3.0,4.0,42.0,3.0
190,6,99,10.0,3.0,3.0,76.0,4.0,57.0,60.0,4.0,57.0,3.0,4.0,57.0,3.0
191,6,101,6.6,3.0,3.0,12.0,4.0,12.0,11.0,3.0,12.0,3.0,4.0,8.0,3.0
192,6,103,3.5,3.0,3.0,10.0,4.0,9.0,8.0,4.0,6.0,3.0,3.0,3.0,3.0
193,6,107,9.7,3.0,3.0,53.0,4.0,46.0,27.0,3.0,46.0,3.0,4.0,46.0,3.0
194,6,109,5.7,3.0,3.0,11.0,4.0,6.0,30.0,4.0,6.0,3.0,3.0,8.0,3.0
195,6,111,7.0,3.0,3.0,121.0,4.0,94.0,47.0,3.0,47.0,3.0,4.0,70.0,3.0
196,6,113,8.3,3.0,3.0,17.0,4.0,16.0,2.0,3.0,21.0,3.0,4.0,21.0,3.0
197,6,115,13.9,3.0,3.0,19.0,4.0,9.0,35.0,4.0,12.0,3.0,4.0,6.0,3.0
198,8,1,6.6,4.0,3.0,29.0,4.0,33.0,22.0,3.0,22.0,3.0,4.0,22.0,3.0
199,8,3,5.5,4.0,3.0,16.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0
200,8,5,5.1,4.0,3.0,24.0,3.0,31.0,38.0,4.0,31.0,3.0,4.0,46.0,3.0
201,8,7,3.9,3.0,3.0,1.0,3.0,9.0,1.0,3.0,3.0,3.0,4.0,5.0,3.0
202,8,13,3.8,3.0,4.0,11.0,3.0,25.0,5.0,3.0,17.0,3.0,4.0,25.0,3.0
203,8,14,3.3,3.2589171974522295,3.280891719745223,14.665271966527197,3.404777070063694,12.649049307122139,11.91076791076791,3.3694267515923566,9.360111770869716,3.0162420382165607,3.3869426751592355,11.005084745762712,3.0006369426751593
204,8,15,5.0,4.0,4.0,5.0,4.0,6.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0
205,8,19,1.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,3.0
206,8,29,7.4,4.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,9.0,3.0
207,8,31,5.2,4.0,4.0,44.0,4.0,67.0,95.0,4.0,67.0,3.0,4.0,67.0,3.0
208,8,35,4.0,3.0,3.0,6.0,3.0,13.0,7.0,3.0,6.0,3.0,4.0,25.0,3.0
209,8,37,0.5,3.0,3.0,22.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
210,8,39,2.1,4.0,3.0,3.0,3.0,7.0,2.0,4.0,2.0,3.0,4.0,5.0,3.0
211,8,41,4.0,3.0,3.0,8.0,3.0,33.0,28.0,4.0,33.0,3.0,3.0,49.0,3.0
212,8,43,4.8,4.0,3.0,4.0,3.0,7.0,5.0,3.0,5.0,3.0,4.0,14.0,3.0
213,8,45,5.5,3.0,3.0,11.0,4.0,5.0,1.5,3.0,2.0,3.0,4.0,5.0,3.0
214,8,49,1.1,4.0,3.0,9.0,4.0,7.0,2.0,3.0,2.0,3.0,4.0,6.0,3.0
