,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt_Ind,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt_Ind,Shig_Exp,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
77,4,25,5.7,Yavapai,Arizona,AZ,16,21679.0,3646.0,5592.0,11746,10856,0,68.0,1,81.0,0,16.0,0,0,0,0,0,0,2001-2003
78,4,27,9.2,Yuma,Arizona,AZ,7,37549.0,12082.0,6971.0,9471,9943,0,62.0,0,95.0,0,90.0,0,0,0,0,0,0,2001-2003
79,5,1,7.8,Arkansas,Arkansas,AR,75,3754.0,765.0,494.0,1289,1095,0,55.0,1,35.0,0,12.0,0,0,0,0,0,0,1994-2003
80,5,3,7.7,Ashley,Arkansas,AR,68,4234.0,784.0,727.0,1468,1278,0,44.0,1,41.0,0,15.0,0,0,0,0,0,0,1994-2003
81,5,5,10.2,Baxter,Arkansas,AR,50,6774.0,844.0,1854.0,2785,2153,1,25.0,0,31.0,1,10.0,0,0,0,0,0,0,1999-2003
82,5,7,5.8,Benton,Arkansas,AR,13,23612.0,2760.0,4491.0,11631,10422,0,46.0,0,75.0,0,15.0,0,0,0,0,0,0,2001-2003
83,5,9,6.7,Boone,Arkansas,AR,49,5761.0,798.0,1385.0,2334,1938,0,27.0,1,22.0,0,7.0,0,0,0,0,0,0,1999-2003
84,5,11,8.5,Bradley,Arkansas,AR,70,2741.0,417.0,450.0,797,699,0,20.0,1,16.0,0,6.0,0,0,0,0,0,0,1994-2003
85,5,13,3.5,Calhoun,Arkansas,AR,43,1217.0,177.0,245.0,365,306,1,5.0,0,8.0,0,3.0,0,0,0,0,0,0,1994-2003
86,5,15,5.1,Carroll,Arkansas,AR,64,5234.0,574.0,1005.0,1750,1459,1,36.0,1,37.0,1,10.0,0,0,0,0,0,0,1994-2003
