,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
2772,48,503,Young,Texas,TX,43,20.95,13.2,28.6,76.9,70.25,83.45,16.8,8.0,25.65,20.6,12.149999999999999,29.15,16.95,8.5,25.450000000000003,2.7,3.1,5.550000000000001,3261.0,3408.0,439.0,61.1,44.4,2.0,2.0
2773,48,505,Zapata,Texas,TX,74,22.4,17.55,27.2,79.75,75.95,83.6,25.7,20.1,31.299999999999997,21.55,14.45,28.7,26.349999999999998,20.85,31.9,6.75,4.3999999999999995,9.100000000000001,3605.0,1200.0,173.0,29.9,7.5,1.0,1.0
2774,48,507,Zavala,Texas,TX,66,18.8,12.600000000000001,24.9,79.4,74.45,84.35,28.0,19.6,36.4,19.0,9.65,28.35,17.35,10.5,24.200000000000003,9.35,3.9,14.850000000000001,4137.0,1335.0,287.0,25.4,8.5,1.0,1.0
2775,49,1,Beaver,Utah,UT,82,26.5,16.7,36.3,79.35,70.0,88.7,17.1,9.2,24.9,16.7,7.4,26.0,13.2,6.0,20.5,3.5,0.4,6.6,958.0,828.0,104.0,64.5,32.2,2.0,2.0
2776,49,3,Box Elder,Utah,UT,47,19.3,15.6,23.1,86.7,82.9,90.4,26.0,21.6,30.4,27.6,21.5,33.7,10.7,7.6,13.8,4.7,2.8,6.6,5413.0,4749.0,509.0,40.9,47.4,1.0,2.0
2777,49,5,Cache,Utah,UT,45,16.5,14.1,18.9,77.2,73.5,81.0,18.4,15.8,21.0,15.8,12.3,19.2,6.2,4.4,7.9,5.0,3.6,6.4,13809.0,6835.0,704.0,51.0,51.0,2.0,2.0
2778,49,7,Carbon,Utah,UT,42,26.3,22.6,30.0,84.2,80.3,88.1,22.1,18.6,25.5,29.1,23.5,34.6,19.4,16.1,22.6,6.6,4.6,8.6,3218.0,2706.0,587.0,61.7,56.6,1.0,2.0
2779,49,9,Daggett,Utah,UT,78,18.3,14.7,21.8,72.69999999999999,67.1,78.35,21.4,17.15,25.7,21.3,16.0,26.7,18.9,14.850000000000001,23.05,5.55,4.0,7.15,122.0,31801.0,5138.5,178.10000000000002,185.8,2.0,1.0
2780,49,11,Davis,Utah,UT,12,14.8,13.0,16.6,80.2,77.5,82.9,19.7,17.6,21.8,18.0,15.1,20.9,9.7,8.0,11.3,4.9,3.8,6.0,25115.0,18425.0,2144.0,56.7,38.4,2.0,2.0
2781,49,13,Duchesne,Utah,UT,86,24.9,20.9,28.9,85.8,81.6,90.0,24.5,20.6,28.4,27.4,21.3,33.5,19.6,16.0,23.2,5.8,4.0,7.7,2816.0,1644.0,332.0,71.6,39.1,2.0,2.0
