,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind
92,5,27,9.2,Columbia,Arkansas,AR,35,8,8,8,8,5,8,8,8,8,7,-1,6,8,8,8,6,-1,6,8,8,5,5
93,5,29,4.9,Conway,Arkansas,AR,43,7,7,7,8,5,5,6,8,8,8,-1,8,8,5,5,6,8,6,6,8,8,5
94,5,31,6.2,Craighead,Arkansas,AR,22,5,6,6,6,5,7,8,8,8,7,-1,8,8,8,8,8,7,8,8,8,8,5
95,5,33,5.8,Crawford,Arkansas,AR,33,5,8,5,8,5,5,8,8,8,-1,-1,8,8,5,5,8,-1,8,6,8,8,5
96,5,35,11.5,Crittenden,Arkansas,AR,53,8,8,8,8,7,8,8,8,8,8,-1,8,8,6,6,8,8,8,6,8,8,5
97,5,37,9.6,Cross,Arkansas,AR,68,8,8,8,8,7,6,8,8,8,8,-1,8,8,8,8,6,8,8,6,8,8,7
98,5,39,14.7,Dallas,Arkansas,AR,74,8,8,8,6,5,8,8,8,-1,8,-1,8,8,8,8,6,8,8,6,8,-1,5
99,5,41,10.3,Desha,Arkansas,AR,67,8,6,8,8,5,8,6,8,8,5,-1,8,8,5,8,8,8,6,6,6,6,5
100,5,43,4.5,Drew,Arkansas,AR,67,6,8,6,6,5,6,5,6,5,8,-1,5,6,6,8,8,8,8,8,8,8,5
101,5,45,4.8,Faulkner,Arkansas,AR,19,5,8,5,5,5,5,5,6,8,7,-1,8,6,5,8,5,7,6,8,8,5,5
102,5,47,4.7,Franklin,Arkansas,AR,43,7,7,5,8,5,5,8,6,8,-1,-1,5,8,5,5,8,-1,8,6,8,6,7
